I would like to drastically decrease the amount of time it takes me to clean the house.	J'aimerais diminuer de manière drastique la somme de temps que ça me prend de nettoyer la maison.
If there is nothing near them that needs doing, they are sure to go and find something.	S'il n'y a rien à leur proximité qui doive être fait, il est garanti qu'ils s'en vont trouver quelque chose.
If we don't have a solution, the least we can do is acknowledge that there's a problem.	Si nous n'avons pas de solution, le moins que l'on puisse faire c'est de reconnaître qu'il y a un problème.
In Japan, we still sometimes see someone use an abacus, but not as often as we used to.	Au Japon, on voit toujours parfois quelqu'un utiliser un boulier, mais pas aussi souvent que nous en avions l'habitude.
Last night, we heard sounds of gunshots and screaming on the street outside our window.	La nuit dernière, nous avons entendu des bruits de coups de feu et des cris dans la rue par notre fenêtre.
The eating of delicious food is one of the most intense and poignant pleasures of life.	La consommation de nourriture délicieuse est l'un des plaisirs de la vie les plus intenses et poignants.
The first time you meet people, you should be careful about how near you stand to them.	La première fois que vous rencontrez une personne, vous devriez être attentif à la proximité avec laquelle vous vous tenez par rapport à elle.
The first time you meet people, you should be careful about how near you stand to them.	La première fois que tu rencontres une personne, tu devrais être attentif à la proximité avec laquelle tu te tiens par rapport à elle.
The first time you meet people, you should be careful about how near you stand to them.	La première fois que tu rencontres une personne, tu devrais être attentive à la proximité avec laquelle tu te tiens par rapport à elle.
The first time you meet people, you should be careful about how near you stand to them.	La première fois que vous rencontrez une personne, vous devriez être attentive à la proximité avec laquelle vous vous tenez par rapport à elle.
The first time you meet people, you should be careful about how near you stand to them.	La première fois que vous rencontrez une personne, vous devriez être attentifs à la proximité avec laquelle vous vous tenez par rapport à elle.
The first time you meet people, you should be careful about how near you stand to them.	La première fois que vous rencontrez une personne, vous devriez être attentives à la proximité avec laquelle vous vous tenez par rapport à elle.
To become a professional banjo player, you need to spend thousands of hours practicing.	Pour devenir un joueur professionnel de banjo, il faut passer des milliers d'heures à pratiquer.
Tom put his ear to the door in an effort to overhear what Mary was saying on the phone.	Tom mit son oreille contre la porte afin d'entendre ce que Marie disait au téléphone.
Tom was charged with drunken driving after he was involved in a car accident in Boston.	Tom a été accusé de conduite en état d'ébriété après avoir été impliqué dans un accident de voiture à Boston.
Tom's the kind of person who calls a spade a spade and a lot of people don't like that.	Tom est le genre de personne qui dit les choses comme elles sont et beaucoup de gens n'aiment pas ça.
